Counter;Class
31;org.apache.bookkeeper.bookie.BufferedChannel
16;org.apache.syncope.core.spring.security.Encryptor
16;org.apache.bookkeeper.bookie.storage.ldb.WriteCache
15;org.apache.bookkeeper.client.BookKeeperAdmin
14;org.apache.bookkeeper.bookie.FileInfo
12;org.apache.bookkeeper.bookie.storage.ldb.ReadCache
11;org.apache.bookkeeper.client.LedgerHandle
10;org.apache.openjpa.util.ProxyManagerImpl
10;org.apache.bookkeeper.client.BookKeeper
9;org.apache.syncope.core.spring.security.DefaultPasswordGenerator
9;org.apache.bookkeeper.proto.checksum.DigestManager
9;org.apache.bookkeeper.bookie.BookieImpl
8;org.apache.openjpa.util.CacheMap
8;org.apache.bookkeeper.bookie.Bookie
7;org.apache.zookeeper.server.DataTree
7;org.apache.syncope.core.spring.security.AuthDataAccessor
7;org.apache.syncope.core.provisioning.api.utils.RealmUtils
7;org.apache.openjpa.lib.util.ClassUtil
7;org.apache.bookkeeper.net.NetworkTopologyImpl
7;org.apache.bookkeeper.bookie.Journal
7;org.apache.avro.Schema
6;org.apache.avro.SchemaCompatibility
5;org.apache.zookeeper.ZooKeeper
5;org.apache.jcs.engine.EventQueueConcurrentLoadTest
5;org.apache.bookkeeper.bookie.storage.ldb.LedgerMetadataIndex
5;org.apache.bookkeeper.bookie.BookieStatus
5;org.apache.avro.specific.SpecificData
5;org.apache.avro.io.BinaryData
4;org.apache.syncope.core.spring.policy.DefaultPasswordRule
4;org.apache.syncope.core.provisioning.api.utils.FormatUtils
4;org.apache.syncope.common.lib.search.SyncopeFiqlParser
4;org.apache.jcs.JCSLightLoadUnitTest
4;org.apache.bookkeeper.common.util.MathUtils
4;org.apache.bookkeeper.common.allocator.impl.ByteBufAllocatorImpl
4;org.apache.bookkeeper.client.DefaultEnsemblePlacementPolicy
4;org.apache.bookkeeper.bookie.InterleavedLedgerStorage
4;org.apache.bookkeeper.bookie.EntryLogger
4;org.apache.avro.reflect.ReflectData
4;org.apache.avro.generic.GenericData
3;org.apache.zookeeper.server.persistence.FileTxnLog
3;org.apache.zookeeper.common.PathUtils
3;org.apache.tajo.util.FileUtil
3;org.apache.tajo.client.QueryClientImpl
3;org.apache.tajo.client.CatalogAdminClientImpl
3;org.apache.syncope.core.provisioning.api.utils.URIUtils
3;org.apache.openjpa.kernel.ResultShape
3;org.apache.openjpa.jdbc.identifier.QualifiedDBIdentifier
3;org.apache.jcs.ZeroSizeCacheUnitTest
3;org.apache.jcs.RemovalTestUtil
3;org.apache.bookkeeper.util.AvailabilityOfEntriesOfLedger
3;org.apache.bookkeeper.metastore.Value
3;org.apache.bookkeeper.client.RoundRobinDistributionSchedule
3;org.apache.bookkeeper.client.impl.LedgerEntriesImpl
2;org.apache.zookeeper.ZookeeperMain
2;org.apache.zookeeper.Zookeeper
2;org.apache.zookeeper.ZKUtil
2;org.apache.zookeeper.server.ZKDatabase
2;org.apache.zookeeper.server.quorum.ObserverMaster
2;org.apache.tajo.datum.DatumFactory
2;org.apache.tajo.client.SessionConnection
2;org.apache.syncope.core.spring.policy.DefaultAccountRule
2;org.apache.syncope.common.rest.api.batch.BatchPayloadParser
2;org.apache.syncope.common.rest.api.batch.BatchPayloadLineReader
2;org.apache.syncope.common.lib.AnyOperations
2;org.apache.storm.utils.ObjectReader
2;org.apache.storm.utils.ConfigUtils
2;org.apache.storm.topology.WindowedBoltExecutor
2;org.apache.storm.coordination.CoordinatedBolt
2;org.apache.storm.bolt.JoinBolt
2;org.apache.openjpa.jdbc.identifier.DBIdentifierUtilImpl
2;org.apache.JCSCacheElementRetrievalUnitTest
2;org.apache.jcs.JCSUniTest
2;org.apache.jcs.JCSCacheElementRetrievalUnitTest
2;org.apache.jcs.engine.memory.lru.LRUMemoryCacheConcurrentUnitTest
2;org.apache.ConcurrentRemovalLoadTest
2;org.apache.bookkeeper.util.EntryFormatter
2;org.apache.bookkeeper.util.DiskChecker
2;org.apache.bookkeeper.util.ByteBufList
2;org.apache.bookkeeper.proto.WriteEntryProcessor
2;org.apache.bookkeeper.proto.PerChannelBookieClient
2;org.apache.bookkeeper.proto.BookieClientImpl
2;org.apache.bookkeeper.conf.ServerConfiguration
2;org.apache.bookkeeper.common.concurrent.FutureUtils
2;org.apache.bookkeeper.bookie.storage.ldb.WriteCacheTest
2;org.apache.bookkeeper.bookie.storage.ldb.SingleDirectoryDbLedgerStorage
2;org.apache.bookkeeper.bookie.storage.ldb.DbLedgerStorage
2;org.apache.bookkeeper.bookie.JournalTest
2;org.apache.bookkeeper.bookie.DefaultEntryLogger
2;org.apache.avro.reflect.GenericData
2;org.apache.avro.Protocol
2;org.apache.avro.mapred.FsInputTest
2;org.apache.avro.mapred.AvroWrapperTest
2;org.apache.avro.ipc.Responder
2;org.apache.avro.data.RecordBuilderBase
1;orgapachestormcontainercgroupSubSystemType
1;orgapachestormcontainercgroupSubSystem
1;orgapachestormcontainercgroupDevice
1;orgapacheopenjpakernelBrokerImpl
1;orgapacheopenjpajdbcsqlDBDictionary
1;orgapachebookkeepertoolsclicommandsbookiesRecoverCommand
1;orgapachebookkeeperclientZoneawareEnsemblePlacementPolicyImpl
1;orgapachebookkeeperbookieLogMark
1;orgapachebookkeeperbookieKeyComparator
1;orgapachebookkeeperbookieEntryKey
1;org.apache.zookeeper.ZooKeeperMain
1;org.apache.zookeeper.server.ZooKeeperServer
1;org.apache.zookeeper.server.util.CircularBuffer
1;org.apache.zookeeper.server.quorum.QuorumPeer
1;org.apache.zookeeper.server.NodeHashMapImpl
1;org.apache.zookeeper.server.metric.AvgMinMaxCounter
1;org.apache.zookeeper.server.DigestCalculator
